	DrugBank_ID	DrugBank_Name	Indication	Targets	Proximity	FDR
0	DB00623	fluphenazine	For management of manifestations of psychotic disorders.	HTR2C, DRD1, HTR2A, DRD2, CALM1, AR	-1.398801377767599	2.1073363927795692e-08
1	DB00993	azathioprine	Azathioprine is indicated to treat rheumatoid arthritis and prevent renal transplant rejection.[L11214]	RAC1	-8.310098897998916	5.737483949952346e-08
2	DB00186	lorazepam	"Lorazepam is FDA-approved for the short-term relief of anxiety symptoms related to anxiety disorders and anxiety associated with depressive symptoms such as anxiety-associated insomnia. It is as well used as an anesthesia premedication in adults to relieve anxiety or to produce sedation/amnesia and for the treatment of status epilepticus.[T385]

Some off-label indications of lorazepam include rapid tranquilization of an agitated patient, alcohol withdrawal delirium, alcohol withdrawal syndrome, muscle spasms, insomnia, panic disorder, delirium, chemotherapy-associated anticipatory nausea and vomiting, and psychogenic catatonia.[T385]"	GABRA1	-4.234907887947758	4.277567211378924e-07
3	DB01202	levetiracetam	"Levetiracetam is indicated as an adjunctive therapy in the treatment of partial onset seizures in epileptic patients who are one month of age and older. Additionally, it is indicated as an adjunct in the treatment of myoclonic seizures in patients with juvenile myoclonic epilepsy who are 12 years of age and older, and in primary generalized tonic-clonic seizures in patients with idiopathic generalized epilepsy who are 6 years of age and older.[L8606]

Levetiracetam is also available as an orally dissolvable tablet that is indicated as an adjunct in the treatment of partial onset seizures in patients with epilepsy who are 4 years of age and older and weigh more than 20kg.[L8609]"	CACNA1B, SV2A	-2.800248234829912	4.277567211378924e-07
4	DB00643	mebendazole	For the treatment of <i>Enterobius vermicularis</i> (pinworm), <i>Trichuris trichiura</i> (whipworm), <i>Ascaris lumbricoides</i> (common roundworm), <i>Ancylostoma duodenale</i> (common hookworm), <i>Necator americanus</i> (American hookworm) in single or mixed infections.	TUBB4B, TUBA1A	-7.612510278822741	3.2128261423212573e-06
5	DB00541	vincristine	Treatment of acute lymphocytic leukemia (ALL), Hodgkin lymphoma, non-Hodgkin lymphomas, Wilms' tumor, neuroblastoma, rhabdomyosarcoma. Liposomal vincristine is indicated for the treatment of relapsed Philadelphia chromosome-negative (Ph-) acute lymphoblastic leukemia (ALL). 	TUBB, TUBA4A	-3.999291593828253	3.2128261423212573e-06
6	DB12742	amuvatinib	Amuvatinib is a selective multi-targeted tyrosine kinase inhibitor that suppresses c-MET, c-RET and the mutant forms of c-KIT, PDGFR and FLT3. Amuvatinib also suppresses Rad51 protein, a critical component of double-stranded DNA repair in cancer cells.	PDGFRA, MET, KIT, RET, FLT3, RAD51	-1.1250464627249992	3.2128261423212573e-06
7	DB00518	parbendazole	For the treatment of parenchymal neurocysticercosis due to active lesions caused by larval forms of the pork tapeworm, <i>Taenia solium</i> and for the treatment of cystic hydatid disease of the liver, lung, and peritoneum, caused by the larval form of the dog tapeworm, <i>Echinococcus granulosus</i>.	TUBB4B, TUBA1A	-7.612510278822741	7.768904848292765e-06
8	DB02424	geldanamycin		HSP90AB1, HSP90B1, HSP90AA1	-5.320508359879047	7.768904848292765e-06
9	DB04868	nilotinib	For the potential treatment of various leukemias, including chronic myeloid leukemia (CML).	KIT, ABL1	-3.133504498578204	7.768904848292765e-06
