	DrugBank_ID	DrugBank_Name	Indication	Targets	Proximity	FDR
0	DB00252	phenytoin	Phenytoin is indicated to treat grand mal seizures, complex partial seizures, and to prevent and treat seizures during or following neurosurgery.[L9362] Injectable phenytoin and [Fosphenytoin], which is the phosphate ester prodrug formulation of phenytoin[A188571], are indicated to treat tonic-clonic status epilepticus, and for the prevention and treatment of seizures occurring during neurosurgery.[L10740]	SCN3A, NR1I2, SCN1B, SCN8A, SCN1A, KCNH2, SCN5A, CACNA1C, SCN2A, GABRA1	-2.3243726460719354	2.865492430523024e-05
1	DB00824	enprofylline	Used in the management of symptoms of asthma. Also used in the treatment of peripheral vascular diseases and in the management of cerebrovascular insufficiency, sickle cell disease, and diabetic neuropathy.	PDE4A, ADORA3, ADORA2B, ADORA2A, ADORA1, PDE4B	-1.3369114276557494	2.865492430523024e-05
2	DB09273	doxofylline	Indicated for the treatment of chronic obstructive pulmonary disease (COPD), bronchial asthma and pulmonary disease with spastic bronchial component.	ADRB2, ADORA2A, PDE2A	-2.8852777395126354	8.045518119881594e-05
3	DB00864	tacrolimus	For use after allogenic organ transplant to reduce the activity of the patient's immune system and so the risk of organ rejection. It was given FDA approval in 1994 for use in liver transplantation. Since then, this indication has expanded to kidney, heart, small bowel, pancreas, lung, trachea, skin, cornea, and limb transplants. It has also been used in a topical preparation in the treatment of severe atopic dermatitis.	FKBP1A	-9.186596281272225	0.0006380059921115052
4	DB16637	KW-2478		INSR, IGF1R	-5.278518615637837	0.0006380059921115052
5	DB00564	carbamazepine	Carbamazepine is indicated for the treatment of epilepsy and pain associated with true trigeminal neuralgia.[L1335] In particular, carbamazepine has shown efficacy in treating mixed seizures, partial seizures with complex symptoms, and generalized tonic-clonic seizures.[A180301,L1335] Carbamazepine is also indicated for the treatment of manic episodes and mixed manic-depressive episodes caused by bipolar I disorder.[L1335] Some off-label, unapproved uses of carbamazepine include the treatment of alcohol withdrawal syndrome and restless leg syndrome.[A180415,A180421]	NR1I2, SCN1A, CHRNA4	-1.9019675055771508	0.0006380059921115052
6	DB00337	pimecrolimus	For treatment of mild to moderate atopic dermatitis.	FKBP1A, MTOR	-4.950538022877015	0.0014936699161883775
7	DB08080	latrunculin-b		SPIRE2, ACTA1, MRTFA	-2.7432149107298365	0.0014936699161883775
8	DB00313	valproic-acid	"**Indicated** for:[Label] 

1) Use as monotherapy or adjunctive therapy in the management of complex partial seizures and simple or complex absence seizures. 

2) Adjunctive therapy in the management of multiple seizure types that include absence seizures. 

3) Prophylaxis of migraine headaches.

4) Acute management of mania associated with bipolar disorder.


**Off-label** uses include:
 
1) Maintenance therapy for bipolar disorder.[A177919]

2) Treatment for acute bipolar depression.[A177928,A177931,A177934]

3) Emergency treatment of status epilepticus.[A177955]"	OGDH, HDAC2, PPARD, ALDH5A1, PPARG, SCN1A, HDAC9, ACADSB, PPARA	-1.110309011513588	0.0014936699161883775
9	DB00831	trifluoperazine	For the treatment of anxiety disorders, depressive symptoms secondary to anxiety and agitation.	ADRA1A, CALY, TNNC1, DRD2, CALM1, S100A4	-0.96435284564908	0.0014936699161883775
