	DrugBank_ID	DrugBank_Name	Indication	Targets	Proximity	FDR
0	DB04690	camptothecin	Investigated for the treatment of cancer.	TOP1	-3.1667746525579097	1.5037737662576317e-39
1	DB01030	topotecan	For the treatment of advanced ovarian cancer in patients with disease that has recurred or progressed following therapy with platinum-based regimens. Also used as a second-line therapy for treatment-sensitive small cell lung cancer, as well as in combination with cisplatin for the treatment of stage IV-B, recurrent, or persistent cervical cancer not amenable to curative treatment with surgery and/or radiation therapy.	TOP1, TOP1MT	-1.351227851108262	7.56693014514865e-36
2	DB00313	valproic-acid	"**Indicated** for:[Label] 

1) Use as monotherapy or adjunctive therapy in the management of complex partial seizures and simple or complex absence seizures. 

2) Adjunctive therapy in the management of multiple seizure types that include absence seizures. 

3) Prophylaxis of migraine headaches.

4) Acute management of mania associated with bipolar disorder.


**Off-label** uses include:
 
1) Maintenance therapy for bipolar disorder.[A177919]

2) Treatment for acute bipolar depression.[A177928,A177931,A177934]

3) Emergency treatment of status epilepticus.[A177955]"	OGDH, HDAC2, PPARD, ALDH5A1, PPARG, SCN1A, HDAC9, ACADSB, PPARA	-1.0446670999317778	1.1049934690471419e-29
3	DB08911	trametinib	"Trametinib is indicated for the treatment of unresectable or metastatic melanoma with BRAF V600E or V600K mutations, as detected by an FDA-approved test [FDA].

In May 2018, it was approved for use with [DB08912] for the treatment of treat anaplastic thyroid cancer caused by an abnormal BRAF V600E gene [L2726]."	MAP2K1, MAP2K2	-1.2735653912393152	1.1894870246862355e-21
4	DB00197	troglitazone	For the treatment of Type II diabetes mellitus. It is used alone or in combination with a sulfonylurea, metformin, or insulin as an adjunct to diet and exercise.	ACSL4, ESRRA, PPARD, SERPINE1, SLC29A1, ESRRG, PPARG, GSTP1, PPARA	-0.2157085645255722	1.1894870246862355e-21
5	DB08059	wortmannin		PIK3R1, PIK3CA, PLK1, PIK3CG	-2.034998614303945	4.60930854769292e-20
6	DB04573	celastrol	Used as a test to determine the general health of an unborn fetus.	ESR1, ESR2, SHBG	-1.0713803905926205	6.174490823035587e-18
7	DB12442	alvespimycin	Investigated for use as an antineoplastic agent for solid tumors, advanced solid tumours or acute myeloid leukaemia. 	HSP90AA1	-3.7494741363979447	6.454005203372149e-17
8	DB00334	olanzapine	"Olanzapine was initially used orally and intramuscularly for the chronic treatment of schizophrenia in patients over 13 years old and other psychiatric disorders such as bipolar I disorder including mixed or manic episodes.[A177014] 

Olanzapine is also indicated, in combination with lithium or valproate for the short-term treatment of acute manic or mixed episodes associated with bipolar I disorder in adults.[FDA label]

As well, olanzapine is indicated, in combination with fluoxetine for the treatment of episodes of depression associated with bipolar disorder type 1 and treatment-resistant depression in patients over 10 years old.[A177014]

Olanzapine is also approved for the management of psychomotor agitation associated with schizophrenia and bipolar I mania.[FDA label]

Schizophrenia is a complex biochemical brain disorder that affects the person's ability to differentiate reality. It is usually observed as the presence of delusions, hallucinations, social withdrawal and disturbed thinking.[L5936]

Bipolar disorder is a mental health condition defined by periods of extreme mood disturbances. It is categorized in different types from which type 1 is known to involve episodes of severe mania and often depression while type 2 presents less severe forms of mania.[L5939]

Olanzapine is also indicated in combination with [samidorphan] for the treatment of bipolar I disorder, either as an adjunct to lithium or valproate or as monotherapy for the acute treatment of manic or mixed episodes or as maintenance therapy, and for the treatment of schizophrenia in adults.[L34359]"	HTR1A, ADRA1A, DRD2, ADRA1B, HRH1, DRD3, DRD4, HTR6, ADRB1, DRD1, HTR3A, CHRM4, DRD5, CHRM3, HTR2C, CHRM2, HTR2A, CHRM1, GABRA1	0.2987122753592096	1.0873838584543578e-13
9	DB00877	sirolimus	"Sirolimus is indicated for the prophylaxis of organ rejection in patients aged 13 years or older receiving renal transplants. In patients at low-to moderate-immunologic risk, it is recommended that sirolimus be used initially in a regimen with [cyclosporine] and corticosteroids; cyclosporine should be withdrawn two to four months after transplantation. In patients at high-immunologic risk (defined as Black recipients and/or repeat renal transplant recipients who lost a previous allograft for immunologic reason and/or patients with high panel-reactive antibodies [PRA; peak PRA level > 80%]), it is recommended that sirolimus be used in combination with cyclosporine and corticosteroids for the first year following transplantation.[L19809]

It is also used to treat lymphangioleiomyomatosis.[L19809] 

In the US, albumin-bound sirolimus for intravenous injection is indicated for the treatment of adult patients with locally advanced unresectable or metastatic malignant perivascular epithelioid cell tumour (PEComa).[L39267]

In Europe, it is recommended that sirolimus for the prophylaxis of organ rejection in renal transplants is used in combination with cyclosporin microemulsion and corticosteroids for two to three months. Sirolimus may be continued as maintenance therapy with corticosteroids only if cyclosporin microemulsion can be progressively discontinued.[L7021]"	MTOR	-3.155075002040621	2.955162144560961e-13
