	DrugBank_ID	DrugBank_Name	Indication	Targets	Proximity	Normalized_Enrichment_Score	FDR
0	DB09330	Osimertinib	Osimertinib is indicated for the treatment of patients with metastatic epidermal growth factor receptor (EGFR) T790M mutation-positive non-small cell lung cancer (NSCLC), as detected by an FDA- approved test, who have progressed on or after EGFR-TKI therapy.	EGFR	-3.744068775890623	2.3178612320366243	<0.0001
1	DB11963	Dacomitinib	"Dacomitinib is indicated as the first-line treatment of patients with metastatic non-small cell lung cancer (NSCLC) with epidermal growth factor receptor (EGFR) exon 19 deletion or exon 21 L858R substitution mutations as verified by an FDA-approved test.[L4812]

Lung cancer is the leading cause of cancer death and NSCLC accounts for 85% of lung cancer cases. From the cases of NSCLC, approximately 75% of the patients present a late diagnosis with metastatic and advanced disease which produces a survival rate of 5%. The presence of a mutation in EGFR accounts for more than the 60% of the NSCLC cases and the overexpression of EGFR is associated with frequent lymph node metastasis and poor chemosensitivity.[A40018, A19201]"	EGFR	-3.744068775890623	-1.6102337083395672	<0.0001
2	DB00317	Gefitinib	For the continued treatment of patients with locally advanced or metastatic non-small cell lung cancer after failure of either platinum-based or docetaxel chemotherapies.	EGFR	-3.744068775890623	1.477178733270456	<0.0001
3	DB11828	Neratinib	For use as an extended adjuvant treatment in adult patients with early stage HER2-overexpressed/amplified breast cancer, to follow adjuvant trastuzumab-based therapy [FDA Label].	EGFR	-3.744068775890623	1.4378638881286911	<0.0001
4	DB05424	Canertinib	Investigated for use/treatment in breast cancer and lung cancer.	EGFR	-3.744068775890623	-1.365880153972004	<0.0001
5	DB12442	Alvespimycin	Investigated for use as an antineoplastic agent for solid tumors, advanced solid tumours or acute myeloid leukaemia. 	HSP90AA1	-3.5211261063384502	-1.5042115823508486	<0.0001
6	DB00663	Flumethasone	For the treatment of contact dermatitis, atopic dermatitis, exczema, psoriasis, diaper rash and other skin conditions	NR3C1	-3.489418190587757	1.8360189028465015	<0.0001
7	DB00547	Desoximetasone	For the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses.	NR3C1	-3.489418190587757	-1.6167078068778287	<0.0001
8	DB00896	Rimexolone	For the treatment of postoperative inflammation following ocular surgery and in the treatment of anterior uveitis.	NR3C1	-3.489418190587757	-1.6002945081415607	<0.0001
9	DB00394	Beclomethasone dipropionate	"Indicated for oral inhalation use in the maintenance treatment of asthma as prophylactic therapy in patients 5 years of age and older. The aerosol form of beclomethasone diproprionate is not indicated for the relief of acute bronchospasm.[L6871]

Indicated for intranasal use to relieve the symptoms of seasonal or perennial allergic and nonallergic (vasomotor) rhinitis and prevent the recurrence of nasal polyps following surgical removal.[L6880]

Indicated for the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses in patients 13 years of age and older.[L10782] Corticosteroid-responsive dermatoses include psoriasis, contact dermatitis (dermatitis venenata), atopic dermatitis (infantile eczema, allergic dermatitis), neurodermatitis (lichen simplex chronicus, lichen planus, eczema, eczematous dermatitis), intertrigo, dyshidroses (pompholyx), seborrheic dermatitis, exfoliative dermatitis, solar dermatitis, stasis dermatitis, and anogenital and senile pruritus.[L6886]"	NR3C1	-3.489418190587757	1.5869997024415576	<0.0001
10	DB15566	Prednisolone acetate	Prednisolone acetate is indicated as an anti-inflammatory or immunosuppressive agent for allergic, dermatologic, gastrointestinal, hematologic, ophthalmologic, nervous system, renal, respiratory, rheumatologic, or infectious conditions.[L9449] Prednisolone acetate is also indicated in organ transplant patients, as well as endocrine or neoplastic conditions.[L9449]	NR3C1	-3.489418190587757	1.5098583802157621	<0.0001
11	DB00620	Triamcinolone	"Triamcinolone hexacetonide injections are indicated for intralesional administration in alopecia areata, discoid lupus erythematosus, keloids, and necrobiosis lipoidica diabeticorum.[L8246] This formulation can also be used for localized hypertrophic infiltrated inflammatory lesions of granuloma annulare, lichen planus, lichen simplex chronicus, and psoriatic plaques.[L8246]

Triamcinolone acetonide spray and cream are indicated for the treatment of inflammatory and pruritic manifestations of corticosteroid responsive dermatoses.[L8249,L8258] A triamcinolone acetonide 10mg/mL or 40mg/mL injection is indicated intra-articularly for acute gouty arthritis, acute and subacute bursitis, acute nonspecific tenosynovitis, epicondylitis, rheumatoid arthritis, and synovitis of osteoarthritis.[L8252,L8255] The same 10mg/mL injection is indicated by the intralesional route for the treatment of alopecia areata, discoid lupus erythematosus, keloids, necrobiosis lipoidica diabeticorum, and tumors of an aponeurosis or tendon.[L8252] This formulation can also be used for localized hypertrophic infiltrated inflammatory lesions of granuloma annulare, lichen planus, lichen simplex chronicus, and psoriatic plaques.[L8252] The 40mg/mL injection is indicated intramuscularly for controlling severe allergic conditions such as asthma, atopic dermatitis, contact dermatitis, drug hypersensitivity, perennial or seasonal allergic rhinitis, serum sickness, and transfusion reactions; treatment of bullous dermatitis herpetiformis, exfoliative erythroderma, mycosis fungoides, pemphigus, Stevens-Johnson syndrome, congenital adrenal hyperplasia, hypercalcemia in
cancer, nonsuppurative thyroiditis, autoimmune hemolytic anemia, Diamond-Blackfan anemia, pure red cell aplasia, secondary thrombocytopenia, trichinosis, tuberculous meningitis, acute exacerbations of multiple sclerosis or cerebral edema, sympathetic ophthalmia, temporal arteritis, uveitis, ocular inflammation, berylliosis, idiopathic eosinophilic pneumonias, symptomatic sarcoidosis, dermatomyositis, polymyositis, and systemic lupus erythematosus; adjunct treatment of adrenocortical insufficiency, regional enteritis, ulcerative colitis, fulminating or disseminated pulmonary tuberculosis, acute gouty arthritis, acute rheumatic carditis, ankylosing spondylitis, psoriatic arthritis, rheumatoid arthritis; palliative management of leukemia and lymphoma; induction of diuresis or remission of proteinuria in idiopathic nephrotic syndrome or lupus erythematosus.[L8255] A triamcinolone intravitreal injection is indicated for the treatment of sympathetic ophthalmia, temporal arteritis, uveitis, and ocular inflammatory conditions.[L8261] The intravitreal injection is also used for visualization during vitrectomy.[L8261] An extended release suspension is indicated intra-articularly for management of pain in osteoarthritis of the knee.[L8264]

A triamcinolone acetonide suspension for injection into the suprachoroidal space is indicated for the treatment of macular edema associated with uveitis.[L38963]"	NR3C1	-3.489418190587757	1.2564547669373742	<0.0001
12	DB00846	Flurandrenolide	For relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses, particularly dry, scaling localized lesions	NR3C1	-3.489418190587757	-1.2561172505025475	<0.0001
13	DB00180	Flunisolide	For the maintenance treatment of asthma as a prophylactic therapy.	NR3C1	-3.489418190587757	-1.2529465472296386	<0.0001
14	DB05134	Tanespimycin	Investigated for use/treatment in leukemia (myeloid) and solid tumors.	HSP90AA1, HSP90AB1	-3.4833448197499832	-1.9476125324672708	<0.0001
15	DB08473	Dichlororibofuranosylbenzimidazole		CSNK2A1	-3.3910492741257166	-1.898216153689867	<0.0001
16	DB04462	Tetrabromo-2-Benzotriazole		CSNK2A1	-3.3910492741257166	-1.5610151017147555	<0.0001
17	DB02424	Geldanamycin		HSP90AA1, HSP90AB1, HSP90B1	-3.3515594609305905	1.838137458449588	<0.0001
18	DB03444	6-bromoindirubin-3'-oxime		GSK3B	-3.3464039753692805	-1.7805824586661123	<0.0001
19	DB01950	AR-AO-14418		GSK3B	-3.3464039753692805	-1.671712174060248	<0.0001
20	DB02169	9,10-Deepithio-9,10-Didehydroacanthifolicin		PPP1CC	-3.3211471561173997	1.4388638221616858	<0.0001
21	DB00361	Vinorelbine	"
 Vinorelbine tartrate is indicated for adults in the treatment of advanced non-small cell lung cancer (NSCLC), as a single therapy or in combination with other chemotherapeutic drugs [L1998].

Used in relapsed or refractory Hodgkin lymphoma, in combination with other chemotherapy agents [L2011].
 
For the treatment of desmoid tumor or aggressive fibromatosis, in combination with methotrexate [L2011].

For the treatment of recurrent or metastatic squamous cell head and neck cancer [L2011].

For the treatment of recurrent ovarian cancer [L2011].

For the treatment of metastatic breast cancer, in patients previously treated with anthracyline and/or taxane therapy [L2011].

For the treatment of HER2-positive, trastuzumab-resistant, advanced breast cancer in patients previously treated with a taxane, in combination with trastuzumab and everolimus [L2011].
"	TUBB	-3.283667893230947	-1.914728463806046	<0.0001
22	DB07794	5-(2-PHENYLPYRAZOLO[1,5-A]PYRIDIN-3-YL)-1H-PYRAZOLO[3,4-C]PYRIDAZIN-3-AMINE		MAPK1	-3.219574972272439	2.2998484195396003	<0.0001
23	DB08521	4-[4-(4-Fluorophenyl)-2-[4-[(R)-methylsulfinyl]phenyl]-1H-imidazol-5-yl]pyridine		MAPK1, MAPK14	-3.135276324377037	-1.6972952533509194	<0.0001
24	DB13978	Selisistat		SIRT1	-3.0890690241972782	-2.2561383812705245	<0.0001
25	DB08399	Piceatannol		ATP5F1A, ATP5F1B, ATP5F1C	-3.0602467438301533	-1.8143206377751564	<0.0001
26	DB03044	Doramapimod		MAPK14	-3.050977676481635	-2.784467647839138	<0.0001
27	DB07138	Neflamapimod		MAPK14	-3.050977676481635	1.8952152407356682	<0.0001
28	DB05482	7-ethyl-10-hydroxycamptothecin	Investigated for use/treatment in colorectal cancer.	TOP1	-2.9621474143099062	-2.8330686978277244	<0.0001
29	DB04690	Camptothecin	Investigated for the treatment of cancer.	TOP1	-2.9621474143099062	-1.5341488487811517	<0.0001
30	DB01590	Everolimus	"Everolimus is indicated for the treatment of postmenopausal women with advanced hormone receptor-positive, HER2-negative breast cancer (advanced HR+ BC) in combination with exemestane, after failure of treatment with letrozole or anastrozole.
Indicated for the treatment of adult patients with progressive neuroendocrine tumors of pancreatic origin (PNET) with unresectable, locally advanced or metastatic disease.
Indicated for the treatment of adult patients with advanced renal cell carcinoma (RCC) after failure of treatment with sunitinib or sorafenib.
Indicated for the treatment of adult patients with renal angiomyolipoma and tuberous sclerosis complex (TSC), not requiring immediate surgery.
Indicated in pediatric and adult patients with tuberous sclerosis complex (TSC) for the treatment of subependymal giant cell astrocytoma (SEGA) that requires therapeutic intervention but cannot be curatively resected."	MTOR	-2.9509240384108115	-2.5952725585198837	<0.0001
31	DB00877	Sirolimus	"Sirolimus is indicated for the prophylaxis of organ rejection in patients aged 13 years or older receiving renal transplants. In patients at low-to moderate-immunologic risk, it is recommended that sirolimus be used initially in a regimen with [cyclosporine] and corticosteroids; cyclosporine should be withdrawn two to four months after transplantation. In patients at high-immunologic risk (defined as Black recipients and/or repeat renal transplant recipients who lost a previous allograft for immunologic reason and/or patients with high panel-reactive antibodies [PRA; peak PRA level > 80%]), it is recommended that sirolimus be used in combination with cyclosporine and corticosteroids for the first year following transplantation.[L19809]

It is also used to treat lymphangioleiomyomatosis.[L19809] 

In the US, albumin-bound sirolimus for intravenous injection is indicated for the treatment of adult patients with locally advanced unresectable or metastatic malignant perivascular epithelioid cell tumour (PEComa).[L39267]

In Europe, it is recommended that sirolimus for the prophylaxis of organ rejection in renal transplants is used in combination with cyclosporin microemulsion and corticosteroids for two to three months. Sirolimus may be continued as maintenance therapy with corticosteroids only if cyclosporin microemulsion can be progressively discontinued.[L7021]"	MTOR	-2.9509240384108115	-2.1796025574268123	<0.0001
32	DB06287	Temsirolimus	For the treatment of renal cell carcinoma (RCC). Also investigated for use/treatment in breast cancer, lymphoma (unspecified), rheumatoid arthritis, and multiple myeloma.	MTOR	-2.9509240384108115	1.3697565251821855	<0.0001
33	DB01396	Digitoxin	For the treatment and management of congestive cardiac insufficiency, arrhythmias and heart failure.	ATP1A1	-2.9321367370767706	1.4346781090806247	<0.0001
34	DB00390	Digoxin	"Digoxin is indicated in the following conditions: 1) For the treatment of mild to moderate heart failure in adult patients.[L9143] 2) To increase myocardial contraction in children diagnosed with heart failure.[L9143] 3) To maintain control ventricular rate in adult patients diagnosed with chronic atrial fibrillation.[L9143]

In adults with heart failure, when it is clinically possible, digoxin should be administered in conjunction with a diuretic and an angiotensin-converting enzyme (ACE) inhibitor for optimum effects.[L9143]

"	ATP1A1	-2.9321367370767706	1.2902908457467754	<0.0001
35	DB07101	PD-0325901		MAP2K1	-2.8131455310366382	2.5317976071011117	<0.0001
36	DB07460	2-({5-CHLORO-2-[(2-METHOXY-4-MORPHOLIN-4-YLPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)-N-METHYLBENZAMIDE		PTK2	-2.7824117223272915	-1.9225533416570593	<0.0001
37	DB06733	Bafilomycin A1		ATP6V1A	-2.730300470826299	1.437338644081273	<0.0001
38	DB12191	Obatoclax		BCL2	-2.6962405245272043	1.4149002174479979	<0.0001
39	DB08881	Vemurafenib	"Vemurafenib is approved since 2011 for the treatment of metastatic melanoma with a mutation on BRAF in the valine located in the exon 15 at codon 600, this mutation is denominated as V600E.[A31270] The V600E mutation, a substitution of glutamic acid for valine, accounts for 54% of the cases of cutaneous melanoma.[A31271] 
Vemurafenib approval was extended in 2017, for its use as a treatment of adult patients with Erdheim-Chester Disease whose cancer cells present BRAF V600 mutation.[L1013] Erdheim-Chester disease is an extremely rare histiocyte cell disorder that affects large bones, large vessels, central nervous system, as well as, skin and lungs. It is reported an association of Erdheim-Chester disease and V600E mutation.[A31272]"	BRAF	-2.659716339033381	-2.0826971311307605	<0.0001
40	DB06999	PLX-4720		BRAF	-2.659716339033381	-1.4918164985761126	<0.0001
41	DB12015	Alpelisib	Alpelisib is indicated in combination with fulvestrant to treat postmenopausal women, and men, with advanced or metastatic breast cancer.[Label] This cancer must be hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative, and PIK3CA­ mutated.[Label] The cancer must be detected by an FDA-approved test following progression on or after an endocrine-based regimen.[Label]	PIK3CA	-2.644333491035766	1.6141875399965304	<0.0001
42	DB00864	Tacrolimus	For use after allogenic organ transplant to reduce the activity of the patient's immune system and so the risk of organ rejection. It was given FDA approval in 1994 for use in liver transplantation. Since then, this indication has expanded to kidney, heart, small bowel, pancreas, lung, trachea, skin, cornea, and limb transplants. It has also been used in a topical preparation in the treatment of severe atopic dermatitis.	FKBP1A	-2.559492437052169	-1.6371040374109618	<0.0001
43	DB07970	5-[(2-methyl-5-{[3-(trifluoromethyl)phenyl]carbamoyl}phenyl)amino]pyridine-3-carboxamide		EPHA7	-2.51442793668784	-2.436290339688685	<0.0001
44	DB09064	Ciprofibrate		PPARA	-2.4649447802627775	-1.6114700343302217	<0.0001
45	DB07350	(2E)-N-hydroxy-3-[1-methyl-4-(phenylacetyl)-1H-pyrrol-2-yl]prop-2-enamide		HDAC8	-2.4536796783231964	-2.1567552164942434	<0.0001
46	DB02565	4-(dimethylamino)-N-[7-(hydroxyamino)-7-oxoheptyl]benzamide		HDAC8	-2.4536796783231964	-1.6023701719131511	<0.0001
47	DB08633	TNP-470		METAP2	-2.4263740484288	-1.6489469380168584	<0.0001
48	DB01700	AICA ribonucleotide		ATIC	-2.4263740484288	-1.2375257571802782	<0.0001
49	DB01131	Proguanil	For the causal prevention and suppression of malaria caused by susceptible strains of <i>P. falciparum</i> and other species of Plasmodium found in some geographical areas of the world.	DHFR	-2.414204034706628	1.2443557970278258	<0.0001
50	DB04960	Tipifarnib	Investigated for use/treatment in colorectal cancer, leukemia (myeloid), pancreatic cancer, and solid tumors.	FNTB	-2.324583549981646	-1.4458722161152486	<0.0001
51	DB04149	(R)-Rolipram		PDE4D, PDE4B	-2.153871725412229	1.426709114474229	<0.0001
52	DB05448	PX-12	Investigated for use/treatment in cancer/tumors (unspecified), gastric cancer, and pancreatic cancer.	TXNRD1	-2.1437506542647227	-1.4835840360774752	<0.0001
53	DB03535	Z-Pro-Prolinal		PREP	-2.0345512533009886	-1.4690086311549726	<0.0001
54	DB06654	Safinamide	Safinamide is indicated as an add-on treatment to levodopa with or without other medicines for Parkinson’s disease	MAOB	-2.0168290443773498	-1.4074863790182588	<0.0001
55	DB08916	Afatinib	"Afatinib is a kinase inhibitor indicated as monotherapy [L2937] for the first-line [FDA Label] treatment of (a) Epidermal Growth Factor Receptor (EGFR) TKI (tyrosine kinase inhibitor)-naive adult patients with locally advanced or metastatic non-small cell lung cancer (NSCLC) whose tumours have non-resistant EGFR mutations as detected by an FDA-approved test [FDA Label], and (b) adult patients with locally advanced or metastatic NSCLC of squamous histology progressing on or after platinum-based chemotherapy [FDA Label, L2937].

Recently, as of January 2018, the US FDA approved a supplemental New Drug Application for Boehringer Ingelheim's Gilotrif (afatinib) for the first line treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have non-resistant epidermal growth factor receptor (EGFR) mutations as detected by an FDA-approved test [L2939]. The new label includes data on three additional EGFR mutations: L861Q, G719X and S768I [L2939]."	EGFR, ERBB2, ERBB4	-1.966676301323244	1.1378259238127968	<0.0001
56	DB01219	Dantrolene	For use, along with appropriate supportive measures, for the management of the fulminant hypermetabolism of skeletal muscle characteristic of malignant hyperthermia crises in patients of all ages. Also used preoperatively, and sometimes postoperatively, to prevent or attenuate the development of clinical and laboratory signs of malignant hyperthermia in individuals judged to be malignant hyperthermia susceptible.	RYR1	-1.8834242757458846	-1.660301565945924	<0.0001
57	DB03759	FG-9041		GRIA2	-1.8593706283096376	1.7723719538120444	<0.0001
58	DB09232	Cilnidipine	"Cilnidipine is indicated for the management of hypertension for end-organ protection.[L1436] It is reported to be useful in elderly patients and in those with diabetes and albuminuria. Cilnidipine has been increasingly used in patients with chronic kidney disease 

Hypertension is the term used to describe the presence of high blood pressure. The blood pressure is generated by the force of the blood pumped from the heart against the blood vessels. Thus hypertension is caused when there is too much pressure on the blood vessels and this effect can damage the blood vessel.[L1438]"	CACNA1B, CACNA1C	-1.7829427847964479	1.1494822573905878	<0.0001
59	DB04017	Clorgiline		MAOA	-1.6844903489297232	1.7720918861501378	<0.0001
60	DB01168	Procarbazine	For use with other anticancer drugs for the treatment of stage III and stage IV Hodgkin's disease.	MAOA	-1.6844903489297232	1.5045689444915429	<0.0001
61	DB07919	Harmine		MAOA	-1.6844903489297232	-1.3288482439879246	<0.0001
62	DB03777	Bisindolylmaleimide I		PRKCI, PDPK1, PIM1	-1.6510053686930035	-1.8635624178204135	<0.0001
63	DB01013	Clobetasol propionate	Clobetasol propionate is indicated to treat moderate to severe plaque psoriasis[L11818,L118121,L11824] as well as inflammatory and pruritic manifestations of corticosteroid responsive dermatoses.[L11815,L11827]	NR3C2, NR3C1, ANXA1	-1.649230133200823	1.5222813321024724	<0.0001
64	DB12500	Fedratinib	Fedratinib is indicated to treat adults with primary or secondary myelofibrosis that is either intermediate-2 or high risk.[L8090]	JAK2, JAK1, FLT3	-1.6316734589740958	2.3420267303420608	<0.0001
