	DrugBank_ID	DrugBank_Name	Indication	Targets	Proximity	Normalized_Enrichment_Score	FDR
0	DB12442	Alvespimycin	Investigated for use as an antineoplastic agent for solid tumors, advanced solid tumours or acute myeloid leukaemia. 	HSP90AA1	-5.366381717799816	-1.3396026082196841	<0.0001
1	DB00663	Flumethasone	For the treatment of contact dermatitis, atopic dermatitis, exczema, psoriasis, diaper rash and other skin conditions	NR3C1	-5.3227122553402735	1.7218272314278382	<0.0001
2	DB00394	Beclomethasone dipropionate	"Indicated for oral inhalation use in the maintenance treatment of asthma as prophylactic therapy in patients 5 years of age and older. The aerosol form of beclomethasone diproprionate is not indicated for the relief of acute bronchospasm.[L6871]

Indicated for intranasal use to relieve the symptoms of seasonal or perennial allergic and nonallergic (vasomotor) rhinitis and prevent the recurrence of nasal polyps following surgical removal.[L6880]

Indicated for the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses in patients 13 years of age and older.[L10782] Corticosteroid-responsive dermatoses include psoriasis, contact dermatitis (dermatitis venenata), atopic dermatitis (infantile eczema, allergic dermatitis), neurodermatitis (lichen simplex chronicus, lichen planus, eczema, eczematous dermatitis), intertrigo, dyshidroses (pompholyx), seborrheic dermatitis, exfoliative dermatitis, solar dermatitis, stasis dermatitis, and anogenital and senile pruritus.[L6886]"	NR3C1	-5.3227122553402735	1.5753888546740373	<0.0001
3	DB00846	Flurandrenolide	For relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses, particularly dry, scaling localized lesions	NR3C1	-5.3227122553402735	-1.563250934877406	<0.0001
4	DB01130	Prednicarbate	For the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses.	NR3C1	-5.3227122553402735	-1.4651757673738448	<0.0001
5	DB15566	Prednisolone acetate	Prednisolone acetate is indicated as an anti-inflammatory or immunosuppressive agent for allergic, dermatologic, gastrointestinal, hematologic, ophthalmologic, nervous system, renal, respiratory, rheumatologic, or infectious conditions.[L9449] Prednisolone acetate is also indicated in organ transplant patients, as well as endocrine or neoplastic conditions.[L9449]	NR3C1	-5.3227122553402735	1.4488656381911542	<0.0001
6	DB00896	Rimexolone	For the treatment of postoperative inflammation following ocular surgery and in the treatment of anterior uveitis.	NR3C1	-5.3227122553402735	-1.4033741477153925	<0.0001
7	DB00253	Medrysone	For the treatment of allergic conjunctivitis, vernal conjunctivitis, episcleritis, and epinephrine sensitivity.	NR3C1	-5.3227122553402735	1.3819021881283338	<0.0001
8	DB00180	Flunisolide	For the maintenance treatment of asthma as a prophylactic therapy.	NR3C1	-5.3227122553402735	-1.2971619849949754	<0.0001
9	DB00620	Triamcinolone	"Triamcinolone hexacetonide injections are indicated for intralesional administration in alopecia areata, discoid lupus erythematosus, keloids, and necrobiosis lipoidica diabeticorum.[L8246] This formulation can also be used for localized hypertrophic infiltrated inflammatory lesions of granuloma annulare, lichen planus, lichen simplex chronicus, and psoriatic plaques.[L8246]

Triamcinolone acetonide spray and cream are indicated for the treatment of inflammatory and pruritic manifestations of corticosteroid responsive dermatoses.[L8249,L8258] A triamcinolone acetonide 10mg/mL or 40mg/mL injection is indicated intra-articularly for acute gouty arthritis, acute and subacute bursitis, acute nonspecific tenosynovitis, epicondylitis, rheumatoid arthritis, and synovitis of osteoarthritis.[L8252,L8255] The same 10mg/mL injection is indicated by the intralesional route for the treatment of alopecia areata, discoid lupus erythematosus, keloids, necrobiosis lipoidica diabeticorum, and tumors of an aponeurosis or tendon.[L8252] This formulation can also be used for localized hypertrophic infiltrated inflammatory lesions of granuloma annulare, lichen planus, lichen simplex chronicus, and psoriatic plaques.[L8252] The 40mg/mL injection is indicated intramuscularly for controlling severe allergic conditions such as asthma, atopic dermatitis, contact dermatitis, drug hypersensitivity, perennial or seasonal allergic rhinitis, serum sickness, and transfusion reactions; treatment of bullous dermatitis herpetiformis, exfoliative erythroderma, mycosis fungoides, pemphigus, Stevens-Johnson syndrome, congenital adrenal hyperplasia, hypercalcemia in
cancer, nonsuppurative thyroiditis, autoimmune hemolytic anemia, Diamond-Blackfan anemia, pure red cell aplasia, secondary thrombocytopenia, trichinosis, tuberculous meningitis, acute exacerbations of multiple sclerosis or cerebral edema, sympathetic ophthalmia, temporal arteritis, uveitis, ocular inflammation, berylliosis, idiopathic eosinophilic pneumonias, symptomatic sarcoidosis, dermatomyositis, polymyositis, and systemic lupus erythematosus; adjunct treatment of adrenocortical insufficiency, regional enteritis, ulcerative colitis, fulminating or disseminated pulmonary tuberculosis, acute gouty arthritis, acute rheumatic carditis, ankylosing spondylitis, psoriatic arthritis, rheumatoid arthritis; palliative management of leukemia and lymphoma; induction of diuresis or remission of proteinuria in idiopathic nephrotic syndrome or lupus erythematosus.[L8255] A triamcinolone intravitreal injection is indicated for the treatment of sympathetic ophthalmia, temporal arteritis, uveitis, and ocular inflammatory conditions.[L8261] The intravitreal injection is also used for visualization during vitrectomy.[L8261] An extended release suspension is indicated intra-articularly for management of pain in osteoarthritis of the knee.[L8264]

A triamcinolone acetonide suspension for injection into the suprachoroidal space is indicated for the treatment of macular edema associated with uveitis.[L38963]"	NR3C1	-5.3227122553402735	1.2809252726507216	<0.0001
10	DB00547	Desoximetasone	For the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses.	NR3C1	-5.3227122553402735	-1.2715232907626253	<0.0001
11	DB05134	Tanespimycin	Investigated for use/treatment in leukemia (myeloid) and solid tumors.	HSP90AA1, HSP90AB1	-5.314347756018138	-2.1678146020664357	<0.0001
12	DB08473	Dichlororibofuranosylbenzimidazole		CSNK2A1	-5.187234485738502	-1.9484532561587582	<0.0001
13	DB04462	Tetrabromo-2-Benzotriazole		CSNK2A1	-5.187234485738502	-1.3161451240960311	<0.0001
14	DB02424	Geldanamycin		HSP90AA1, HSP90AB1, HSP90B1	-5.1328474699403674	-2.1464468778401797	<0.0001
15	DB03444	6-bromoindirubin-3'-oxime		GSK3B	-5.125747120458223	-2.0013887535661468	<0.0001
16	DB01950	AR-AO-14418		GSK3B	-5.125747120458223	1.7655717263261468	<0.0001
17	DB07794	5-(2-PHENYLPYRAZOLO[1,5-A]PYRIDIN-3-YL)-1H-PYRAZOLO[3,4-C]PYRIDAZIN-3-AMINE		MAPK1	-4.951072933953312	2.288355867433745	<0.0001
18	DB08521	4-[4-(4-Fluorophenyl)-2-[4-[(R)-methylsulfinyl]phenyl]-1H-imidazol-5-yl]pyridine		MAPK1, MAPK14	-4.834973324360465	-1.7295326753469966	<0.0001
19	DB03044	Doramapimod		MAPK14	-4.71887371476762	-2.809354455101785	<0.0001
20	DB07138	Neflamapimod		MAPK14	-4.71887371476762	2.121222650520182	<0.0001
21	DB05482	7-ethyl-10-hydroxycamptothecin	Investigated for use/treatment in colorectal cancer.	TOP1	-4.5965329772155235	-3.1168739868794266	<0.0001
22	DB04690	Camptothecin	Investigated for the treatment of cancer.	TOP1	-4.5965329772155235	-1.799304264647559	<0.0001
