	DrugBank_ID	DrugBank_Name	Indication	Targets	Proximity	Normalized_Enrichment_Score	FDR
0	DB09330	Osimertinib	Osimertinib is indicated for the treatment of patients with metastatic epidermal growth factor receptor (EGFR) T790M mutation-positive non-small cell lung cancer (NSCLC), as detected by an FDA- approved test, who have progressed on or after EGFR-TKI therapy.	EGFR	-5.8760305630450125	2.457677747786996	<0.0001
1	DB11963	Dacomitinib	"Dacomitinib is indicated as the first-line treatment of patients with metastatic non-small cell lung cancer (NSCLC) with epidermal growth factor receptor (EGFR) exon 19 deletion or exon 21 L858R substitution mutations as verified by an FDA-approved test.[L4812]

Lung cancer is the leading cause of cancer death and NSCLC accounts for 85% of lung cancer cases. From the cases of NSCLC, approximately 75% of the patients present a late diagnosis with metastatic and advanced disease which produces a survival rate of 5%. The presence of a mutation in EGFR accounts for more than the 60% of the NSCLC cases and the overexpression of EGFR is associated with frequent lymph node metastasis and poor chemosensitivity.[A40018, A19201]"	EGFR	-5.8760305630450125	-1.736040120507989	<0.0001
2	DB11828	Neratinib	For use as an extended adjuvant treatment in adult patients with early stage HER2-overexpressed/amplified breast cancer, to follow adjuvant trastuzumab-based therapy [FDA Label].	EGFR	-5.8760305630450125	1.5914777157309532	<0.0001
3	DB00317	Gefitinib	For the continued treatment of patients with locally advanced or metastatic non-small cell lung cancer after failure of either platinum-based or docetaxel chemotherapies.	EGFR	-5.8760305630450125	1.3612247956886072	<0.0001
4	DB11447	Phenothiazine		AR	-5.443103095908095	-1.7314545810573942	<0.0001
5	DB02932	(R)-Bicalutamide		AR	-5.443103095908095	1.6894838246537254	<0.0001
6	DB00665	Nilutamide	For use in combination with surgical castration for the treatment of metastatic prostate cancer involving distant lymph nodes, bone, or visceral organs (Stage D2).	AR	-5.443103095908095	1.3866763784129288	<0.0001
7	DB08899	Enzalutamide	Enzalutamide is indicated for the treatment of patients with metastatic castration-resistant prostate cancer who have previously received docetaxel.	AR	-5.443103095908095	-1.3567923731094533	<0.0001
8	DB03444	6-bromoindirubin-3'-oxime		GSK3B	-5.311458300864931	-1.8629126327923837	<0.0001
9	DB01950	AR-AO-14418		GSK3B	-5.311458300864931	1.7621448833312217	<0.0001
10	DB07794	5-(2-PHENYLPYRAZOLO[1,5-A]PYRIDIN-3-YL)-1H-PYRAZOLO[3,4-C]PYRIDAZIN-3-AMINE		MAPK1	-5.131396758846239	2.230925520139597	<0.0001
