	DrugBank_ID	DrugBank_Name	Indication	Targets	Proximity	FDR
0	DB04690	camptothecin	Investigated for the treatment of cancer.	TOP1	-2.9621474143099062	6.216989600720241e-38
1	DB01030	topotecan	For the treatment of advanced ovarian cancer in patients with disease that has recurred or progressed following therapy with platinum-based regimens. Also used as a second-line therapy for treatment-sensitive small cell lung cancer, as well as in combination with cisplatin for the treatment of stage IV-B, recurrent, or persistent cervical cancer not amenable to curative treatment with surgery and/or radiation therapy.	TOP1, TOP1MT	-1.2205087059606603	3.055567971923612e-35
2	DB00313	valproic-acid	"**Indicated** for:[Label] 

1) Use as monotherapy or adjunctive therapy in the management of complex partial seizures and simple or complex absence seizures. 

2) Adjunctive therapy in the management of multiple seizure types that include absence seizures. 

3) Prophylaxis of migraine headaches.

4) Acute management of mania associated with bipolar disorder.


**Off-label** uses include:
 
1) Maintenance therapy for bipolar disorder.[A177919]

2) Treatment for acute bipolar depression.[A177928,A177931,A177934]

3) Emergency treatment of status epilepticus.[A177955]"	OGDH, HDAC2, PPARD, ALDH5A1, PPARG, SCN1A, HDAC9, ACADSB, PPARA	-1.1564904837801189	7.675313718907546e-28
3	DB00197	troglitazone	For the treatment of Type II diabetes mellitus. It is used alone or in combination with a sulfonylurea, metformin, or insulin as an adjunct to diet and exercise.	ACSL4, ESRRA, PPARD, SERPINE1, SLC29A1, ESRRG, PPARG, GSTP1, PPARA	-0.114051810691509	8.967368916455156e-21
4	DB00734	risperidone	"Risperidone is indicated for the treatment of schizophrenia and irritability associated with autistic disorder.[L12885] It is also indicated as monotherapy, or adjunctly with lithium or valproic acid, for the treatment of acute mania or mixed episodes associated with bipolar I disorder.[L12885]

Risperidone is additionally indicated in Canada for the short-term symptomatic management of aggression or psychotic symptoms in patients with severe dementia of the Alzheimer type unresponsive to nonpharmacological approaches.[L12906]

Risperidone is also used off-label for a number of conditions including as an adjunct to antidepressants in treatment-resistant depression.[A177226]"	HTR2C, HTR1A, ADRA2B, DRD1, ADRA1A, HTR2A, HTR1D, DRD2, ADRA2C, HTR7, ADRA1B, HRH1	0.2695936190469499	1.0651805208567688e-18
5	DB00635	prednisone	Prednisone is indicated as an anti-inflammatory or immunosuppressive drug for allergic, dermatologic, gastrointestinal, hematologic, ophthalmologic, nervous system, renal, respiratory, rheumatologic, infectious, endocrine, or neoplastic conditions as well as in organ transplant.[L10502]	NR3C1	-3.489418190587757	9.872968511725151e-17
6	DB00642	pemetrexed	Used in combination with cisplatin for the treatment of malignant pleural mesothelioma in adults whose disease is unresectable or who otherwise are not candidates for potentially curative surgery. Also used as a monotherapy for the treatment of locally advanced or metastatic non-small cell lung cancer (NSCLC) after prior chemotherapy	TYMS, ATIC, DHFR, GART	-0.9495795195895644	9.872968511725151e-17
7	DB12442	alvespimycin	Investigated for use as an antineoplastic agent for solid tumors, advanced solid tumours or acute myeloid leukaemia. 	HSP90AA1	-3.5211261063384502	8.943095708856352e-16
8	DB02424	geldanamycin		HSP90AB1, HSP90B1, HSP90AA1	-3.3515594609305905	8.943095708856352e-16
9	DB00203	sildenafil	"Sildenafil is a phosphodiesterase-5 (PDE5) inhibitor that is predominantly employed for two primary indications:

(1) the treatment of erectile dysfunction [A175582, L5611, F3853, F3856, F3886]; and

(2) treatment of pulmonary hypertension, where:
a) the US FDA specifically indicates sildenafil for the treatment of pulmonary arterial hypertension (PAH) (WHO Group I) in adults to improve exercise ability and delay clinical worsening [F3850]. The delay in clinical worsening was demonstrated when sildenafil was added to background epoprostenol therapy [F3850]. Studies establishing effectiveness were short-term (12 to 16 weeks), and included predominately patients with New York Heart Association (NYHA) Functional Class II-III symptoms and idiopathic etiology (71%) or associated with connective tissue disease (CTD) (25%) [F3850];

b) the Canadian product monograph specifically indicates sildenafil for the treatment of primary pulmonary arterial hypertension (PPH) or pulmonary hypertension secondary to connective tissue disease (CTD) in adult patients with WHO functional class II or III who have not responded to conventional therapy [F3859]. In addition, improvement in exercise ability and delay in clinical worsening was demonstrated in adult patients who were already stabilized on background epoprostenol therapy [F3859]; and

c) the EMA product information specifically indicates sildenafil for the treatment of adult patients with pulmonary arterial hypertension classified as WHO functional class II and III, to improve exercise capacity [F3883]. Efficacy has been shown in primary pulmonary hypertension and pulmonary hypertension associated with connective tissue disease [F3883]. The EMA label also indicates sildenafil for the treatment of pediatric patients aged 1 year to 17 years old with pulmonary arterial hypertension [F3883]. Efficacy in terms of improvement of exercise capacity or pulmonary hemodynamics has been shown in primary pulmonary hypertension and pulmonary hypertension associated with congenital heart disease [F3883]."	PDE5A, PDE6H, PDE6G	-0.1675712629939207	8.943095708856352e-16
